#Duplication rate	Coverage
1.0	2492.0
2.0	2417.0
3.0	2149.0
4.0	1940.0
5.0	1566.0
6.0	1358.0
7.0	1256.0
8.0	1156.0
9.0	1053.0
10.0	928.0
11.0	811.0
12.0	802.0
13.0	714.0
14.0	685.0
15.0	533.0
16.0	515.0
17.0	505.0
18.0	385.0
19.0	379.0
20.0	366.0
21.0	346.0
22.0	292.0
23.0	265.0
24.0	276.0
25.0	244.0
26.0	222.0
27.0	211.0
28.0	216.0
29.0	191.0
30.0	175.0
31.0	133.0
32.0	158.0
33.0	139.0
34.0	117.0
35.0	133.0
36.0	94.0
37.0	102.0
38.0	84.0
39.0	78.0
40.0	72.0
41.0	62.0
42.0	73.0
43.0	62.0
44.0	66.0
45.0	47.0
46.0	64.0
47.0	44.0
48.0	53.0
49.0	48.0
50.0	781.0
