#Position (bp)	insert size
38.0	20514.210659898476
113.0	182.33333333333334
188.0	189.2394366197183
263.0	228.625
338.0	231.5609756097561
413.0	202.8548387096774
488.0	206.33823529411765
563.0	187.4805194805195
638.0	189.14285714285714
713.0	186.16417910447763
788.0	159.98461538461538
863.0	174.8909090909091
938.0	167.75925925925927
1013.0	174.33333333333334
1088.0	228.3469387755102
1163.0	160.3684210526316
1238.0	167.0
1313.0	130.37254901960785
1388.0	180.93548387096774
1463.0	191.025
1538.0	227.78571428571428
1613.0	233.44
1688.0	185.12962962962962
1763.0	187.66101694915255
1838.0	157.0701754385965
1913.0	184.74418604651163
1988.0	206.03571428571428
2063.0	198.3265306122449
2138.0	160.2537313432836
2213.0	197.74647887323943
2288.0	174.41772151898735
2363.0	169.98333333333332
2438.0	178.6
2513.0	181.26415094339623
2588.0	169.61016949152543
2663.0	167.65
2738.0	157.22033898305085
2813.0	170.6315789473684
2888.0	130.57142857142858
2963.0	200.2391304347826
3038.0	220.28125
3113.0	223.06521739130434
3188.0	177.94545454545454
3263.0	186.55
3338.0	156.70731707317074
3413.0	175.43835616438355
3488.0	175.85263157894738
3563.0	169.87755102040816
3638.0	189.41935483870967
3713.0	182.0
3788.0	198.68421052631578
3863.0	228.25925925925927
3938.0	229.40384615384616
4013.0	179.80459770114942
4088.0	186.71951219512195
4163.0	147.7864077669903
4238.0	179.8679245283019
4313.0	166.78181818181818
4388.0	150.64912280701753
4463.0	210.27586206896552
4538.0	169.80769230769232
4613.0	201.4313725490196
4688.0	173.87234042553192
4763.0	210.3
4838.0	208.19148936170214
4913.0	157.0
4988.0	199.70833333333334
5063.0	180.231884057971
5138.0	156.89705882352942
5213.0	196.52941176470588
5288.0	225.35714285714286
5363.0	188.76666666666668
5438.0	603.8679245283018
5513.0	199.2463768115942
5588.0	166.72413793103448
5663.0	212.44230769230768
5738.0	195.34146341463415
5813.0	192.0340909090909
5888.0	161.3030303030303
5963.0	172.22388059701493
6038.0	175.7608695652174
6113.0	192.08771929824562
6188.0	169.15454545454546
6263.0	171.52747252747253
6338.0	162.84285714285716
6413.0	169.59375
6488.0	199.41379310344828
6563.0	209.27272727272728
6638.0	179.85245901639345
6713.0	166.66666666666666
6788.0	177.475
6863.0	3635.653846153846
6938.0	143.7826086956522
7013.0	223.04347826086956
7088.0	176.7037037037037
7163.0	189.92857142857142
7238.0	169.66101694915255
7313.0	179.66666666666666
7388.0	167.24242424242425
7463.0	181.6904761904762
7538.0	183.5
7613.0	176.82978723404256
7688.0	177.7173913043478
7763.0	171.13888888888889
7838.0	172.24
7913.0	219.29545454545453
7988.0	172.97826086956522
8063.0	197.82051282051282
8138.0	169.4
8213.0	144.09259259259258
8288.0	181.35135135135135
8363.0	158.8684210526316
8438.0	173.9718309859155
8513.0	181.10526315789474
8588.0	155.875
8663.0	177.20754716981133
8738.0	198.4915254237288
8813.0	231.44827586206895
8888.0	194.59459459459458
8963.0	202.37777777777777
9038.0	168.68
9113.0	162.0
9188.0	140.0344827586207
9263.0	201.8709677419355
9338.0	178.93333333333334
9413.0	166.82608695652175
9488.0	181.47222222222223
9563.0	226.42105263157896
9638.0	232.95652173913044
9713.0	206.7741935483871
9788.0	183.16666666666666
9863.0	183.8815789473684
9938.0	164.1875
10013.0	207.0
10088.0	183.05882352941177
10163.0	222.2295081967213
10238.0	205.20634920634922
10313.0	168.85294117647058
10388.0	197.53424657534248
10463.0	174.02912621359224
10538.0	165.28169014084506
10613.0	182.63235294117646
10688.0	166.72857142857143
10763.0	189.5441176470588
10838.0	174.9111111111111
10913.0	167.2608695652174
10988.0	159.2058823529412
11063.0	193.3448275862069
11138.0	226.72093023255815
11213.0	197.28813559322035
11288.0	183.6153846153846
11363.0	171.34666666666666
11438.0	166.15686274509804
11513.0	217.08823529411765
11588.0	192.0
11663.0	190.8
11738.0	183.6271186440678
