#Position (bp)	Coverage
38.0	1.3333333333333333
113.0	4.013333333333334
188.0	4.56
263.0	1.9733333333333334
338.0	0.02666666666666667
413.0	0.0
488.0	0.0
563.0	0.0
638.0	0.41333333333333333
713.0	1.0
788.0	0.6
863.0	1.92
938.0	2.6
1013.0	4.0
1088.0	2.6666666666666665
1163.0	1.0
1238.0	0.88
1313.0	0.25333333333333335
1388.0	1.0
1463.0	2.52
1538.0	3.0
1613.0	0.2
1688.0	0.64
1763.0	2.0
1838.0	3.546666666666667
1913.0	4.0
1988.0	2.2933333333333334
2063.0	3.9466666666666668
2138.0	2.066666666666667
2213.0	2.0
2288.0	2.5733333333333333
2363.0	4.8933333333333335
2438.0	4.306666666666667
2513.0	2.986666666666667
2588.0	1.6533333333333333
2663.0	1.6266666666666667
2738.0	0.6266666666666667
2813.0	2.8533333333333335
2888.0	3.3733333333333335
2963.0	1.5866666666666667
3038.0	3.92
3113.0	2.16
3188.0	0.18666666666666668
3263.0	1.0
3338.0	2.2133333333333334
3413.0	5.8533333333333335
3488.0	7.28
3563.0	3.4266666666666667
3638.0	3.493333333333333
3713.0	5.586666666666667
3788.0	5.8533333333333335
3863.0	5.226666666666667
3938.0	3.1066666666666665
4013.0	0.32
4088.0	1.8266666666666667
4163.0	5.306666666666667
4238.0	6.973333333333334
4313.0	3.44
4388.0	4.8
4463.0	3.68
4538.0	0.17333333333333334
4613.0	0.3333333333333333
4688.0	1.6266666666666667
4763.0	1.68
4838.0	0.38666666666666666
4913.0	1.6266666666666667
4988.0	2.8
5063.0	1.6266666666666667
5138.0	3.36
5213.0	4.066666666666666
5288.0	3.6
5363.0	3.7466666666666666
5438.0	2.9466666666666668
5513.0	2.48
5588.0	3.7733333333333334
5663.0	4.8933333333333335
5738.0	5.28
5813.0	5.52
5888.0	6.2
5963.0	2.84
6038.0	0.56
6113.0	1.9066666666666667
6188.0	5.133333333333334
6263.0	5.773333333333333
6338.0	4.746666666666667
6413.0	3.72
6488.0	2.0
6563.0	1.5733333333333333
6638.0	2.0533333333333332
6713.0	3.466666666666667
6788.0	1.8
6863.0	0.5333333333333333
6938.0	0.64
7013.0	4.626666666666667
7088.0	3.066666666666667
7163.0	2.6666666666666665
7238.0	3.0
7313.0	1.48
7388.0	0.96
7463.0	0.0
7538.0	0.0
7613.0	0.9866666666666667
7688.0	3.88
7763.0	3.52
7838.0	1.1333333333333333
7913.0	1.3466666666666667
7988.0	1.0
8063.0	0.17333333333333334
8138.0	1.2933333333333332
8213.0	1.9733333333333334
8288.0	0.7066666666666667
8363.0	0.5866666666666667
8438.0	1.9733333333333334
8513.0	2.546666666666667
8588.0	2.04
8663.0	1.32
8738.0	2.8533333333333335
8813.0	2.9466666666666668
8888.0	1.16
8963.0	1.0
9038.0	2.9066666666666667
9113.0	4.1066666666666665
9188.0	2.0933333333333333
9263.0	0.30666666666666664
9338.0	0.17333333333333334
9413.0	1.2666666666666666
9488.0	4.173333333333333
9563.0	3.2533333333333334
9638.0	2.92
9713.0	2.066666666666667
9788.0	2.64
9863.0	4.64
9938.0	2.2933333333333334
10013.0	1.72
10088.0	3.32
10163.0	5.626666666666667
10238.0	3.0533333333333332
10313.0	0.02666666666666667
10388.0	0.21333333333333335
10463.0	2.6133333333333333
10538.0	7.24
10613.0	8.32
10688.0	7.6
