#Duplication rate	Coverage
1.0	1288.0
2.0	1435.0
3.0	1365.0
4.0	1319.0
5.0	1278.0
6.0	1231.0
7.0	1118.0
8.0	1052.0
9.0	948.0
10.0	918.0
11.0	831.0
12.0	747.0
13.0	724.0
14.0	695.0
15.0	663.0
16.0	585.0
17.0	580.0
18.0	553.0
19.0	534.0
20.0	502.0
21.0	479.0
22.0	427.0
23.0	432.0
24.0	415.0
25.0	389.0
26.0	351.0
27.0	345.0
28.0	322.0
29.0	300.0
30.0	295.0
31.0	270.0
32.0	271.0
33.0	257.0
34.0	203.0
35.0	245.0
36.0	253.0
37.0	219.0
38.0	202.0
39.0	171.0
40.0	189.0
41.0	148.0
42.0	190.0
43.0	159.0
44.0	165.0
45.0	153.0
46.0	126.0
47.0	111.0
48.0	131.0
49.0	109.0
50.0	2786.0
